name,gene,chr,start,end,length,density
chr14-62630000-63755000,"['RP11-1112J20.2', 'KCNH5', 'RHOJ', 'RP11-395B20.2', 'RP11-1112J20.1', 'AL049871.1', 'RP11-395B20.1']",['chr14'],[62630000],[63755000],[1125000],6.222222222222222
chr14-63835000-64250000,"['CTD-2302E22.1', 'RN7SL540P', 'SCARNA20', 'WDR89', 'RNU6-597P', 'RNU6-1162P', 'RP11-804M7.2', 'CTD-2302E22.4', 'HSPE1P2', 'RNU7-116P', 'RP11-804M7.1', 'U3', 'SGPP1', 'CTD-2302E22.5', 'CTD-2302E22.2', 'PPP2R5E', 'Y_RNA', 'RNU6-852P']",['chr14'],[63835000],[64250000],[415000],43.37349397590362
chr14-64255000-64795000,"['RPS28P1', 'ESR2', 'SYNE2', 'MIR548H1', 'Y_RNA']",['chr14'],[64255000],[64795000],[540000],9.25925925925926
chr14-64805000-64990000,"['RP11-973N13.4', 'ZBTB25', 'RP11-544I20.2', 'MTHFD1', 'RP11-712C19.1', 'CTD-2555O16.1', 'CTD-2555O16.3', 'AKAP5', 'TEX21P', 'CTD-2555O16.2', 'ZBTB1', 'CTD-2555O16.4']",['chr14'],[64805000],[64990000],[185000],64.86486486486486
chr14-65005000-65110000,"['RP11-973N13.4', 'PPP1R36', 'RP11-973N13.2', 'RP11-973N13.3', 'HSPA2']",['chr14'],[65005000],[65110000],[105000],47.61904761904762
chr14-65125000-65455000,"['SPTB', 'RAB15', 'RPPH1-2P', 'FNTB', 'CHURC1-FNTB', 'CHURC1', 'PLEKHG3', 'GPX2']",['chr14'],[65125000],[65455000],[330000],24.242424242424242
chr14-65615000-66300000,"['MIR4708', 'RPL21P8', 'RPL21P7', 'CTD-2509G16.1', 'MIR625', 'FUT8', 'EIF1AXP2', 'CTD-2509G16.5', 'CTD-2509G16.3', 'CTD-2509G16.2', 'PTBP1P']",['chr14'],[65615000],[66300000],[685000],16.05839416058394
chr14-66810000-67610000,"['GPHN', 'LINC00238', 'CTD-2560C21.1', 'RP11-72M17.1', 'RP11-862P13.1']",['chr14'],[66810000],[67610000],[800000],6.25
chr14-67620000-67825000,"['MPP5', 'GPHN', 'FAM71D', 'RP11-125H8.1', 'ATP6V1D', 'Y_RNA']",['chr14'],[67620000],[67825000],[205000],29.26829268292683
chr14-67845000-68270000,"['ZFYVE26', 'ARG2', 'RP11-1012A1.10', 'RP11-643G16.4', 'RN7SL369P', 'RDH11', 'Y_RNA', 'MIR5694', 'TMEM229B', 'PIGH', 'RP11-643G16.3', 'VTI1B', 'COX7A2P1', 'PLEK2', 'EIF2S1', 'PLEKHH1', 'U3', 'RPL21P9', 'RP11-1012A1.7', '5S_rRNA', 'RDH12', 'RN7SL213P', 'RP11-1012A1.4']",['chr14'],[67845000],[68270000],[425000],54.11764705882353
chr14-68285000-69320000,"['CTD-2325P2.4', 'RP11-204K16.1', 'CTD-2325P2.3', 'RN7SL706P', 'ZFP36L1', 'RNU6-921P', 'RN7SL224P', 'CTD-2566J3.1', 'PPIAP6', 'RN7SL108P', 'RAD51B', 'CTD-2325P2.2']",['chr14'],[68285000],[69320000],[1035000],11.594202898550725
chr14-69325000-69580000,"['BLZF2P', 'RP11-226F19.1', 'ACTN1', 'BANF1P1', 'DCAF5', 'DDX18P1', 'HMGN1P3', 'ACTN1-AS1', 'RP11-723P16.3']",['chr14'],[69325000],[69580000],[255000],35.29411764705882
chr14-69595000-70235000,"['SLC39A9', 'KIAA0247', 'EXD2', 'RP11-1046B16.1', 'RP11-363J20.1', 'GALNT16', 'PLEKHD1', 'DCAF5', 'SRSF5', 'CCDC177', 'ERH', 'Y_RNA', 'RP11-363J20.2']",['chr14'],[69595000],[70235000],[640000],20.3125
chr14-70275000-70510000,"['SMOC1', 'RPL7AP6']",['chr14'],[70275000],[70510000],[235000],8.510638297872342
chr14-70545000-70750000,"['RP11-718G2.5', 'RP11-486O13.2', 'ADAM21P1', 'SLC8A3', 'RP11-486O13.3']",['chr14'],[70545000],[70750000],[205000],24.390243902439025
chr14-70845000-71040000,"['RP11-486O13.4', 'SYNJ2BP-COX16', 'SYNJ2BP', 'AL357153.1', 'ADAM20P1', 'RNU6-659P', 'ADAM21', 'ADAM20']",['chr14'],[70845000],[71040000],[195000],41.02564102564102
chr14-71055000-71480000,"['RP1-292L20.2', 'CTD-2540L5.6', 'CTD-2540L5.5', 'KRT18P7', 'RN7SL77P', 'MED6', 'PCNX', 'RP6-65G23.3', 'RP6-65G23.1', 'MAP3K9', 'TTC9']",['chr14'],[71055000],[71480000],[425000],25.88235294117647
chr14-71570000-72220000,"['AC004817.1', 'SIPA1L1', 'SNORD56B', 'PCNX', 'RP1-261D10.1', 'RP6-91H8.3', 'RP6-91H8.5', 'RN7SL683P', 'RP6-91H8.2', 'RP1-261D10.2', 'RP6-91H8.1']",['chr14'],[71570000],[72220000],[650000],16.923076923076923
chr14-72320000-73390000,"['DPF3', 'RGS6', 'snoU13', 'RP6-114E22.1', 'AC005477.1', 'RP3-514A23.2', 'Y_RNA']",['chr14'],[72320000],[73390000],[1070000],6.5420560747663545
chr14-73525000-73605000,"['PSEN1', 'RP11-109N23.4', 'RBM25', 'RP11-109N23.5']",['chr14'],[73525000],[73605000],[80000],50.0
chr14-73755000-73940000,"['RP1-240K6.3', 'NUMB']",['chr14'],[73755000],[73940000],[185000],10.81081081081081
chr14-73955000-74115000,"['RP3-414A15.11', 'C14orf169', 'ACOT4', 'RP3-414A15.10', 'AC005280.1', 'HEATR4', 'NT5CP1', 'ACOT6', 'NDUFB8P1', 'RP3-414A15.2', 'ACOT2', 'ACOT1', 'NT5CP2', 'DNAL1']",['chr14'],[73955000],[74115000],[160000],87.5
chr14-74185000-74320000,"['RP5-1021I20.4', 'MIR4505', 'PTGR2', 'ELMSAN1', 'RP5-1021I20.2', 'snoU13', 'RP5-1021I20.7', 'RP5-1021I20.1']",['chr14'],[74185000],[74320000],[135000],59.25925925925926
chr14-74385000-74530000,"['RP5-1021I20.4', 'ENTPD5', 'ALDH6A1', 'AC005484.5', 'CCDC176', 'FAM161B', 'ZNF410', 'RP5-1021I20.5', 'COQ6']",['chr14'],[74385000],[74530000],[145000],62.06896551724138
chr14-74555000-74745000,"['RP5-892G5.2', 'LIN52', 'VSX2', 'RN7SL530P']",['chr14'],[74555000],[74745000],[190000],21.05263157894737
chr14-74780000-75055000,"['RPS2P2', 'RP3-449M8.6', 'ISCA2', 'RAP1AP', 'SYNDIG1L', 'LTBP2', 'MIR4709', 'VRTN', 'CTD-2207P18.1', 'NPC2', 'RP3-449M8.9']",['chr14'],[74780000],[75055000],[275000],40.0
chr14-75070000-75300000,"['SNORA7', 'LTBP2', 'AREL1', 'YLPM1', 'RP11-173A8.2', 'AC007956.1', 'CTD-2207P18.2', 'FCF1']",['chr14'],[75070000],[75300000],[230000],34.78260869565217
chr14-75305000-76130000,"['RP11-316E14.2', 'C14orf1', 'HIF1AP1', 'JDP2', 'ZC2HC1C', 'BATF', 'RP11-950C14.7', 'RP11-316E14.6', 'NEK9', 'EIF2B2', 'DLST', 'TMED10', 'PGF', 'ACYP1', 'RP11-293M10.2', 'PROX2', 'RNU4ATAC14P', 'RP11-293M10.1', 'RPS6KL1', 'RP11-293M10.6', 'RP11-293M10.4', 'RP11-293M10.5', 'RNA5SP387', 'RP11-950C14.3', 'YLPM1', 'FOS', 'TTLL5', 'FLVCR2', 'MLH3', 'RNU6-689P', 'AC007182.6', 'RP11-507E23.1']",['chr14'],[75305000],[76130000],[825000],38.78787878787879
chr14-76160000-76475000,"['TGFB3', 'RP11-270M14.5', 'TTLL5', 'IFT43', 'RP11-270M14.1', 'RP11-270M14.4']",['chr14'],[76160000],[76475000],[315000],19.047619047619047
chr14-76515000-76840000,"['AC016543.1', 'GPATCH2L', 'RP11-516J2.1', 'ESRRB', 'RP11-361H10.3', 'IFT43', 'RN7SL747P']",['chr14'],[76515000],[76840000],[325000],21.53846153846154
chr14-76880000-77135000,"['CYCSP1', 'RP11-187O7.1', 'RP11-187O7.3', 'ESRRB']",['chr14'],[76880000],[77135000],[255000],15.686274509803921
chr14-77160000-77280000,"['RP11-488C13.7', 'RP11-488C13.6', 'RP11-488C13.5', 'VASH1', 'RP11-187O7.3', 'ANGEL1', 'RP11-99E15.2']",['chr14'],[77160000],[77280000],[120000],58.333333333333336
chr14-77335000-77565000,"['RN7SL356P', 'RP11-7F17.1', 'RP11-488C13.4', 'CIPC', 'IRF2BPL', 'RP11-7F17.5', 'C14orf166B', 'RP11-7F17.3', 'RP11-463C8.4', 'RN7SKP17', 'RP11-7F17.4', 'RP11-7F17.7', 'RP11-488C13.1']",['chr14'],[77335000],[77565000],[230000],56.52173913043478
chr14-77595000-77770000,"['MIR1260A', 'SNORA32', 'POMT2', 'AC007375.1', 'RP11-463C8.4', 'NGB', 'ZDHHC22', 'TMEM63C', 'RP11-463C8.5']",['chr14'],[77595000],[77770000],[175000],51.42857142857143
chr14-77780000-78240000,"['POMT2', 'SPTLC2', 'RPL21P10', 'AHSA1', 'ISM2', 'AC008372.1', 'SAMD15', 'TMED8', 'C14orf178', 'ALKBH1', 'SNW1', 'GSTZ1', 'FKSG61', 'RP11-493G17.4', 'COX6CP11', 'RN7SL587P', 'ZMYND19P1', 'NOXRED1', 'VIPAS39', 'RN7SL137P', 'SLIRP', 'SNORA46']",['chr14'],[77780000],[78240000],[460000],47.82608695652174
chr14-78900000-79065000,['NRXN3'],['chr14'],[78900000],[79065000],[165000],6.0606060606060606
chr14-81410000-81685000,"['RP11-114N19.5', 'GTF2A1', 'RP11-114N19.3', 'SNORA79', 'TSHR', 'RP11-114N19.2', 'CEP128', 'RPL17P3', 'NMNAT1P1']",['chr14'],[81410000],[81685000],[275000],32.72727272727273
chr14-81710000-82020000,"['UNGP3', 'STON2', 'RP11-299L17.4', 'RP11-299L17.3', 'SEL1L', 'RP11-299L17.1', 'DYNLL1P1']",['chr14'],[81710000],[82020000],[310000],22.58064516129032
chr14-88200000-88375000,"['GALC', 'RP11-804L24.2', 'RP11-1152H15.1']",['chr14'],[88200000],[88375000],[175000],17.142857142857142
chr14-88380000-88845000,"['GALC', 'RP11-300J18.1', 'KCNK10', 'RNU6-835P', 'RP11-753D20.4', 'RP11-753D20.3', 'GPR65', 'RP11-753D20.1', 'RP11-300J18.2', 'LINC01146', 'FAM35CP']",['chr14'],[88380000],[88845000],[465000],23.655913978494624
chr14-88950000-89440000,"['PTPN21', 'EML5', 'RP11-507K2.2', 'RNU4-92P', 'RP11-507K2.3', 'RNU4-22P', 'TTC8', 'Y_RNA', 'ZC3H14']",['chr14'],[88950000],[89440000],[490000],18.367346938775512
chr14-89490000-90395000,"['RP11-356K23.1', 'RN7SKP255', 'FOXN3-AS2', 'FOXN3', 'RP11-33N16.3', 'FOXN3-AS1', 'RP11-944C7.1', 'CHORDC2P', 'RP11-33N16.2', 'RP11-356K23.2', 'CAP2P1', 'RN7SKP107', 'RAB42P1', 'MPPE1P1', 'Y_RNA', 'EFCAB11']",['chr14'],[89490000],[90395000],[905000],17.679558011049725
chr14-90400000-90720000,"['KCNK13', 'RP11-33N16.3', 'RP11-750I4.2', 'EFCAB11', 'TDP1', 'Y_RNA']",['chr14'],[90400000],[90720000],[320000],18.75
chr14-90725000-91225000,"['RP11-1078H9.5', 'NRDE2', 'RPL21P11', 'AL512791.1', 'AL096869.1', 'RP11-1078H9.1', 'RP11-661G16.2', 'RP11-661G16.1', 'LINC00642', 'PSMC1', 'RP11-471B22.2', 'RP11-1078H9.6', 'RP11-1078H9.2', 'CALM1', 'TTC7B']",['chr14'],[90725000],[91225000],[500000],30.0
chr14-91315000-91770000,"['C14orf159', 'GPR68', 'CTD-2547L24.4', 'SNORA11B', 'CCDC88C', 'CTD-2547L24.3', 'RPS6KA5', 'RN7SL506P', 'RNU7-30P']",['chr14'],[91315000],[91770000],[455000],19.78021978021978
chr14-91780000-91890000,"['RP11-895M11.2', 'AL133153.1', 'CCDC88C', 'RP11-895M11.3']",['chr14'],[91780000],[91890000],[110000],36.36363636363637
chr14-91985000-92435000,"['CATSPERB', 'RP11-747H7.1', 'NANOGP7', 'AL133373.1', 'TRIP11', 'FBLN5', 'RP11-747H7.3', 'U3', 'RP11-248B24.4', 'TC2N']",['chr14'],[91985000],[92435000],[450000],22.222222222222225
chr14-92480000-93260000,"['RP11-529H20.5', 'ATXN3', 'RNU6-366P', 'NDUFB1', 'LGMN', 'TRIP11', 'RP11-529H20.6', 'RIN3', 'CPSF2', 'RP11-472N19.3', 'RP11-529H20.3', 'SLC24A4']",['chr14'],[92480000],[93260000],[780000],15.384615384615383
chr14-93310000-93410000,"['ITPK1', 'RP11-862G15.1', 'RP11-862G15.2', 'CHGA']",['chr14'],[93310000],[93410000],[100000],40.0
chr14-93415000-93650000,"['ITPK1', 'RP11-371E8.2', 'MOAP1', 'ITPK1-AS1']",['chr14'],[93415000],[93650000],[235000],17.021276595744684
chr14-93690000-94085000,"['COX8C', 'RP11-85G20.1', 'UBR7', 'RP11-85G20.2', 'RNU6-1258P', 'UNC79', 'Y_RNA', 'BTBD7']",['chr14'],[93690000],[94085000],[395000],20.253164556962023
chr14-94115000-94375000,"['PRIMA1', 'FAM181A-AS1', 'UNC79']",['chr14'],[94115000],[94375000],[260000],11.538461538461538
chr14-94395000-94650000,"['OTUB2', 'LINC00521', 'RP11-131H24.4', 'IFI27L2', 'MIR4506', 'ASB2', 'FAM181A', 'PPP4R4', 'DDX24', 'IFI27L1', 'IFI27']",['chr14'],[94395000],[94650000],[255000],43.13725490196078
chr14-94880000-95025000,"['SERPINA9', 'RP11-349I1.2', 'SERPINA11', 'SERPINA12']",['chr14'],[94880000],[95025000],[145000],27.586206896551722
chr14-95145000-95515000,"['GSC', 'RPSAP4', 'RP11-991C1.1', 'RPL15P2', 'RP11-991C1.2']",['chr14'],[95145000],[95515000],[370000],13.513513513513514
chr14-95560000-95865000,"['DICER1-AS1', 'MIR3173', 'DICER1', 'CLMN', 'CTD-2240H23.2', 'RP11-725G5.2', 'RP11-725G5.3']",['chr14'],[95560000],[95865000],[305000],22.950819672131146
chr14-95895000-96010000,"['SCARNA13', 'RP11-1070N10.3', 'SYNE3', 'SNHG10', 'GLRX5']",['chr14'],[95895000],[96010000],[115000],43.47826086956522
chr14-96025000-96245000,"['RP11-1070N10.4', 'RP11-1070N10.6', 'TCL1B', 'TCL6', 'RP11-164H13.1', 'RP11-1070N10.5', 'RP11-1070N10.7', 'TCL1A']",['chr14'],[96025000],[96245000],[220000],36.36363636363637
chr14-96260000-96460000,"['AL133167.1', 'LINC00617', 'RP11-185P18.2']",['chr14'],[96260000],[96460000],[200000],15.0
chr14-96565000-96740000,"['RP11-404P21.8', 'AL137190.1', 'RP11-404P21.9', 'BDKRB1', 'RP11-404P21.1', 'RP11-404P21.3', 'RP11-404P21.5', 'BDKRB2']",['chr14'],[96565000],[96740000],[175000],45.714285714285715
chr14-96755000-96895000,"['PEBP1P1', 'RNU2-33P', 'GSKIP', 'snoU13', 'ATG2B', 'AK7']",['chr14'],[96755000],[96895000],[140000],42.857142857142854
chr14-97045000-97220000,"['RP11-433J8.1', 'RP11-433J8.2', 'RN7SKP108']",['chr14'],[97045000],[97220000],[175000],17.142857142857142
chr14-97260000-97365000,['VRK1'],['chr14'],[97260000],[97365000],[105000],9.523809523809524
chr14-99740000-99900000,"['SETD3', 'AL132819.1', 'CTD-2200A16.1']",['chr14'],[99740000],[99900000],[160000],18.75
chr14-99945000-100400000,"['EML1', 'RP11-543C4.3', 'CCNK', 'RP11-543C4.1', 'SETD3', 'RP11-688G15.3', 'HHIPL1', 'CYP46A1', 'Y_RNA', 'CCDC85C']",['chr14'],[99945000],[100400000],[455000],21.978021978021978
chr15-100345000-100465000,"['DNM1P46', 'CTD-2054N24.2']",['chr15'],[100345000],[100465000],[120000],16.666666666666668
chr15-100470000-100950000,"['RP11-90E5.1', 'RNA5SP402', 'SPATA41', 'RP11-168G16.2', 'CTD-3076O17.2', 'ADAMTS17', 'CTD-3076O17.1', 'CERS3']",['chr15'],[100470000],[100950000],[480000],16.666666666666668
chr15-101160000-101425000,"['RP11-66B24.5', 'RP11-192M23.1', 'RP11-66B24.7', 'RP11-66B24.1', 'RP11-66B24.3', 'RP11-66B24.8', 'ASB7', 'RP11-66B24.2', 'ALDH1A3', 'Y_RNA']",['chr15'],[101160000],[101425000],[265000],37.735849056603776
chr15-101455000-101550000,"['ALDH1A3', 'RP11-66B24.4', 'LRRK1']",['chr15'],[101455000],[101550000],[95000],31.57894736842105
chr15-101590000-101820000,"['RP11-424I19.1', 'RP11-424I19.2', 'VIMP', 'CHSY1', 'RP11-505E24.2', 'LRRK1']",['chr15'],[101590000],[101820000],[230000],26.086956521739133
chr15-101840000-102180000,"['RP11-14C10.2', 'RP11-14C10.1', 'RP11-299G20.3', 'PCSK6', 'TM2D3', 'RP11-299G20.2']",['chr15'],[101840000],[102180000],[340000],17.64705882352941
chr15-102190000-102285000,"['snoU13', 'RP11-89K11.1', 'TM2D3', 'TARSL2']",['chr15'],[102190000],[102285000],[95000],42.10526315789474
chr15-22835000-23255000,"['RP11-26F2.1', 'RP11-566K19.5', 'RP11-1180F24.1', 'WHAMMP3', 'AC138649.1', 'RP11-26F2.2', 'TUBGCP5', 'CYFIP1', 'NIPA1', 'NIPA2', 'RP11-566K19.6']",['chr15'],[22835000],[23255000],[420000],26.19047619047619
chr15-23615000-23720000,"['GOLGA6L2', 'RP11-529J17.3']",['chr15'],[23615000],[23720000],[105000],19.047619047619047
chr15-25565000-25695000,"['SNHG14', 'RP13-487P22.1', 'UBE3A']",['chr15'],[25565000],[25695000],[130000],23.076923076923077
chr15-25955000-26190000,"['RP11-1084I9.1', 'MIR4715', 'RP11-2C7.1', 'ATP10A', 'RNA5SP390', 'RP11-446P9.1', 'Y_RNA']",['chr15'],[25955000],[26190000],[235000],29.78723404255319
chr15-27120000-28315000,"['AC090696.2', 'GABRB3', 'RPL5P32', 'RP11-100M12.3', 'OCA2', 'RP11-100M12.1', 'AC145436.1', 'GABRA5', 'GABRG3', 'AC144833.1', 'RP11-30G8.2', 'RP11-100M12.2', 'AC136896.2', 'TVP23BP1', 'RP11-30G8.1', 'RNA5SP391', 'AC136896.1']",['chr15'],[27120000],[28315000],[1195000],14.225941422594142
chr15-29415000-29750000,"['RP11-37J13.1', 'CTD-3118D7.1', 'NDNL2', 'FAM189A1', 'snoZ278']",['chr15'],[29415000],[29750000],[335000],14.925373134328359
chr15-30010000-30375000,"['RP11-680F8.4', 'CTD-2022H16.3', 'HMGN2P5', 'CTD-2022H16.1', 'TJP1', 'RP11-143J24.1', 'CTD-2022H16.2', 'RP11-680F8.3']",['chr15'],[30010000],[30375000],[365000],21.917808219178085
chr15-31190000-31435000,"['TRPM1', 'RP11-348B17.1', 'FAN1', 'MTMR10', 'RP11-540B6.3', 'MIR211', 'RP11-540B6.6', 'RNU6-466P']",['chr15'],[31190000],[31435000],[245000],32.6530612244898
chr15-31490000-31795000,"['UBE2CP4', 'RP11-126F18.2', 'RP11-16E12.1', 'OTUD7A', 'RP11-16E12.2', 'KLF13']",['chr15'],[31490000],[31795000],[305000],19.672131147540984
chr15-31830000-32445000,"['SNORA18', 'RP11-456J20.1', 'OTUD7A', 'CHRNA7']",['chr15'],[31830000],[32445000],[615000],6.504065040650406
chr15-32920000-33305000,"['RP11-1000B6.2', 'HNRNPA1P71', 'FMN1', 'SCG5', 'snoU13', 'RP11-758N13.1', 'SNORD77', 'RP11-758N13.3', 'GREM1', 'ARHGAP11A']",['chr15'],[32920000],[33305000],[385000],25.974025974025974
chr15-33360000-33530000,"['FMN1', 'TMCO5B']",['chr15'],[33360000],[33530000],[170000],11.764705882352942
chr15-33570000-34005000,"['RP11-489D6.2', 'RYR3']",['chr15'],[33570000],[34005000],[435000],4.597701149425287
chr15-34030000-34295000,"['RP11-3D4.2', 'RP11-74D7.1', 'RYR3', 'RP11-3D4.3', 'CHRM5', 'AVEN']",['chr15'],[34030000],[34295000],[265000],22.641509433962266
chr15-34335000-34515000,"['CHRM5', 'PGBD4', 'RP11-1084A12.1', 'EMC7', 'KATNBL1']",['chr15'],[34335000],[34515000],[180000],27.77777777777778
chr15-34520000-34665000,"['EMC4', 'NOP10', 'LPCAT4', 'NUTM1', 'RP11-1084A12.2', 'SLC12A6', 'Y_RNA']",['chr15'],[34520000],[34665000],[145000],48.275862068965516
chr15-34920000-35155000,"['ACTC1', 'RP11-83J16.3', 'GJD2', 'RP11-814P5.1', 'CTD-2125J1.1', 'AQR']",['chr15'],[34920000],[35155000],[235000],25.53191489361702
chr15-35355000-35785000,"['ANP32AP1', 'MIR3942', 'RP11-323I15.2', 'HNRNPA1P45', 'NANOGP8', 'RP11-323I15.5', 'RP11-139F4.2', 'PRELID1P4', 'RP11-150L8.4', 'RP11-323I15.3', 'RP11-150L8.3', 'DPH6']",['chr15'],[35355000],[35785000],[430000],27.906976744186046
chr15-35835000-36010000,"['DPH6-AS1', 'DPH6']",['chr15'],[35835000],[36010000],[175000],11.428571428571429
chr15-36025000-36680000,"['RP11-702M1.2', 'RP11-184D12.1', 'DPH6-AS1', 'RP11-684B21.1', 'RP11-475A13.2', 'MIR4510']",['chr15'],[36025000],[36680000],[655000],9.16030534351145
chr15-36830000-37115000,"['RP11-618N24.1', 'COX6CP4', 'LARP4P', 'RP11-16L14.2', 'CSNK1A1P1', 'TPST2P1', 'C15orf41']",['chr15'],[36830000],[37115000],[285000],24.561403508771928
chr15-37175000-37400000,"['RP11-122D10.1', 'MEIS2', 'Y_RNA', 'RP11-128A17.1']",['chr15'],[37175000],[37400000],[225000],17.777777777777775
chr15-37500000-38160000,"['RP11-25H11.1', 'RP11-597G23.1', 'RP11-720L8.1']",['chr15'],[37500000],[38160000],[660000],4.545454545454546
chr15-38280000-38685000,"['RP11-346D14.1', 'RP11-1008C21.1', 'RP11-1008C21.2', 'SPRED1']",['chr15'],[38280000],[38685000],[405000],9.876543209876543
chr15-38730000-38995000,"['C15orf53', 'RP11-102L12.2', 'Y_RNA', 'FAM98B', 'RASGRP1', 'RP11-275I4.1', 'RP11-275I4.2', 'AC109631.1']",['chr15'],[38730000],[38995000],[265000],30.18867924528302
chr15-39420000-39890000,"['RP11-624L4.2', 'RP11-27M9.1', 'RP11-265N7.2', 'CTD-2033D15.1', 'RP11-462P6.1', 'C15orf54', 'RP11-624L4.1', 'RP11-265N7.1', 'THBS1']",['chr15'],[39420000],[39890000],[470000],19.148936170212767
chr15-39965000-40065000,"['FSIP1', 'RP11-37C7.1']",['chr15'],[39965000],[40065000],[100000],20.0
chr15-40070000-40730000,"['SRP14', 'RP11-521C20.3', 'RP11-133K1.2', 'LINC00984', 'PAK6', 'DISP2', 'PLCB2-AS1', 'snoU13', 'RP11-325N19.3', 'RP11-64K12.10', 'Y_RNA', 'RP11-133K1.6', 'FSIP1', 'RP11-37C7.2', 'C15orf52', 'SRP14-AS1', 'RP11-37C7.1', 'LINC00594', 'C15orf56', 'EIF2AK4', 'RP11-521C20.1', 'RP11-133K1.1', 'RP11-64K12.4', 'KNSTRN', 'H3F3AP1', 'BUB1B', 'ANKRD63', 'RP11-521C20.2', 'PLCB2', 'GPR176', 'RP11-37C7.3', 'PHGR1', 'RNA5SP392', 'IVD', 'RP11-133K1.7', 'BMF']",['chr15'],[40070000],[40730000],[660000],54.54545454545455
chr15-40800000-41100000,"['RPUSD2', 'RMDN3', 'RAD51', 'DNAJC17', 'CTD-2339L15.3', 'C15orf62', 'C15orf57', 'RN7SL376P', 'CASC5', 'SUMO2P15', 'snoU13', 'RNU6-516P', 'ZFYVE19', 'GCHFR', 'RAD51-AS1', 'RP11-111A22.1']",['chr15'],[40800000],[41100000],[300000],53.333333333333336
chr15-41130000-41520000,"['AC025166.1', 'RP11-540O11.7', 'ISCA1P4', 'DLL4', 'SPINT1', 'RP11-540O11.4', 'RN7SL497P', 'EXD1', 'INO80', 'CHAC1', 'RHOV', 'CYCSP2', 'FAM92A1P1', 'RP11-540O11.6', 'RP11-540O11.1', 'VPS18', 'RP11-532F12.5']",['chr15'],[41130000],[41520000],[390000],43.58974358974359
chr15-41725000-42220000,"['MAPKBP1', 'RP11-107F6.3', 'RNA5SP393', 'RP11-380D11.2', 'RP11-23P13.4', 'RP11-23P13.7', 'LTK', 'RNU6-1169P', 'MIR626', 'PLA2G4B', 'AC073657.1', 'MGA', 'RP11-23P13.6', 'TYRO3', 'RP11-107F6.4', 'ITPKA', 'TCEB1P2', 'MIR4310', 'JMJD7', 'JMJD7-PLA2G4B', 'CTD-2382E5.4', 'EHD4', 'RPAP1', 'RTF1', 'SPTBN5']",['chr15'],[41725000],[42220000],[495000],50.505050505050505
chr15-42265000-42440000,"['PLA2G4D', 'CTD-2382E5.1', 'CTD-2382E5.2', 'PLA2G4F', 'PLA2G4E']",['chr15'],[42265000],[42440000],[175000],28.57142857142857
chr15-42460000-42765000,"['RNU6-188P', 'RP11-546B15.1', 'ZNF106', 'CAPN3', 'RP11-164J13.1', 'RP11-546B15.2', 'MIR627', 'VPS39', 'TMEM87A', 'GANC']",['chr15'],[42460000],[42765000],[305000],32.786885245901644
chr15-42780000-42955000,"['EIF4EBP2P2', 'RP11-265N6.1', 'RP11-265N6.2', 'ZNF106', 'STARD9', 'HAUS2', 'RP11-265N6.3', 'SNAP23', 'LRRC57']",['chr15'],[42780000],[42955000],[175000],51.42857142857143
chr15-42995000-43235000,"['CTD-2036P10.3', 'FDPSP4', 'CDAN1', 'STARD9', 'snoU13', 'KRT8P50', 'TTBK2']",['chr15'],[42995000],[43235000],[240000],29.166666666666668
chr15-43480000-43605000,"['EPB42', 'ATP5HP1', 'CCNDBP1', 'TGM5', 'TGM7', 'RP11-402F9.3', 'Y_RNA']",['chr15'],[43480000],[43605000],[125000],56.0
chr15-43690000-43805000,"['TUBGCP4', 'TP53BP1', 'MAP1A']",['chr15'],[43690000],[43805000],[115000],26.086956521739133
chr15-44185000-44365000,"['ACTBP7', 'GAPDHP55', 'FRMD5']",['chr15'],[44185000],[44365000],[180000],16.666666666666668
chr15-44655000-44810000,"['HNRNPMP1', 'CTDSPL2', 'CASC4', 'RN7SL347P', 'RP11-516C1.1', 'RP11-616K22.2', 'CTD-2329K10.1']",['chr15'],[44655000],[44810000],[155000],45.16129032258064
chr15-44850000-45085000,"['SPG11', 'EIF3J', 'RP11-151N17.1', 'PATL2', 'B2M', 'TRIM69', 'Y_RNA']",['chr15'],[44850000],[45085000],[235000],29.78723404255319
chr15-45130000-45225000,"['RNU1-119P', 'CTD-2014N11.1', 'RNU6-1108P', 'CTD-2008A1.2', 'CTD-2014N11.2', 'Y_RNA']",['chr15'],[45130000],[45225000],[95000],63.1578947368421
chr15-45240000-45335000,"['RNU6-1332P', 'SORD', 'CTD-2014N11.3', 'RNU6-966P', 'RNU1-78P', 'C15orf43', 'RP11-109D20.1']",['chr15'],[45240000],[45335000],[95000],73.6842105263158
chr15-45420000-45940000,"['CTD-2651B20.1', 'CTD-2651B20.4', 'MIR147B', 'snoU13', 'SPATA5L1', 'C15orf48', 'GATM', 'RP11-96O20.4', 'CTD-2651B20.3', 'Y_RNA', 'SNORA41', 'RP11-96O20.2', 'SNORA11', 'CTD-2651B20.5', 'RP11-519G16.5', 'SHF', 'SQRDL', 'RP11-519G16.2', 'DUOX1', 'RNU7-5P', 'CTD-2651B20.2', 'SLC28A2', 'CTD-2651B20.6', 'CTD-2651B20.7', 'RP11-519G16.3', 'SLC30A4', 'HMGN2P46', 'DUOXA1', 'BLOC1S6', 'RNU6-953P', 'DPPA5P2']",['chr15'],[45420000],[45940000],[520000],59.61538461538461
